Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[586, 416], [416, 586]]&0.6399008&1.81719561335e-19
[[585, 417], [417, 585]]&0.6341061&2.99604906076e-19
[[584, 418], [418, 584]]&0.6282578&4.93964981453e-19
[[583, 419], [419, 583]]&0.6223559&8.14410571902e-19
[[582, 420], [420, 582]]&0.6164008&1.34273603298e-18
[[581, 421], [421, 581]]&0.6103926&2.21379745851e-18
[[422, 580], [580, 422]]&0.6043317&3.64993495886e-18
[[423, 579], [579, 423]]&0.5982182&6.01772540335e-18
[[578, 424], [424, 578]]&0.5920525&9.92155187373e-18
[[577, 425], [425, 577]]&0.5858348&1.63578736126e-17
[[576, 426], [426, 576]]&0.5795654&2.69695741685e-17
[[575, 427], [427, 575]]&0.5732446&4.44653105933e-17
[[574, 428], [428, 574]]&0.5668728&7.33109033835e-17
[[573, 429], [429, 573]]&0.5604502&1.20869245783e-16
[[572, 430], [430, 572]]&0.5539773&1.99279696495e-16
[[571, 431], [431, 571]]&0.5474544&3.2855667443e-16
[[570, 432], [432, 570]]&0.5408819&5.41698377764e-16
[[569, 433], [433, 569]]&0.53426&8.93109637723e-16
[[434, 568], [568, 434]]&0.5275894&1.47248885678e-15
[[435, 567], [567, 435]]&0.5208702&2.42772369904e-15
[[436, 566], [566, 436]]&0.5141031&4.002639702e-15
[[437, 565], [565, 437]]&0.5072883&6.59923721563e-15
[[438, 564], [564, 438]]&0.5004264&1.08803027678e-14
[[439, 563], [563, 439]]&0.4935178&1.79385866049e-14
[[562, 440], [440, 562]]&0.4865629&2.95757293019e-14
[[561, 441], [441, 561]]&0.4795623&4.87621339964e-14
[[560, 442], [442, 560]]&0.4725165&8.03951675246e-14
[[443, 559], [559, 443]]&0.4654259&1.32549222759e-13
[[444, 558], [558, 444]]&0.458291&2.18536722978e-13
[[557, 445], [445, 557]]&0.4511125&3.60306143603e-13
[[446, 556], [556, 446]]&0.4438907&5.94044402923e-13
[[447, 555], [555, 447]]&0.4366263&9.79413642839e-13
[[448, 554], [554, 448]]&0.4293199&1.61478010576e-12
[[449, 553], [553, 449]]&0.421972&2.66232230787e-12
[[450, 552], [552, 450]]&0.4145831&4.38942741845e-12
[[451, 551], [551, 451]]&0.4071539&7.23694235099e-12
[[550, 452], [452, 550]]&0.399685&1.19317007889e-11
[[549, 453], [453, 549]]&0.392177&1.96720488863e-11
[[454, 548], [548, 454]]&0.3846305&3.24337254371e-11
[[547, 455], [455, 547]]&0.3770462&5.34741730162e-11
[[546, 456], [456, 546]]&0.3694247&8.81640064849e-11
[[545, 457], [457, 545]]&0.3617666&1.45357872802e-10
[[544, 458], [458, 544]]&0.3540726&2.39654616752e-10
[[543, 459], [459, 543]]&0.3463434&3.95123664261e-10
[[460, 542], [542, 460]]&0.3385797&6.51448789824e-10
[[461, 541], [541, 461]]&0.3307821&1.07405747655e-09
[[540, 462], [462, 540]]&0.3229514&1.77082140755e-09
[[463, 539], [539, 463]]&0.3150883&2.91959092124e-09
[[464, 538], [538, 464]]&0.3071934&4.81359165359e-09
[[465, 537], [537, 465]]&0.2992676&7.93627094773e-09
[[536, 466], [466, 536]]&0.2913115&1.30846987216e-08
[[467, 535], [535, 467]]&0.2833259&2.1573021103e-08
[[468, 534], [534, 468]]&0.2753115&3.55678987657e-08
[[533, 469], [469, 533]]&0.2672692&5.86415512491e-08
[[470, 532], [532, 470]]&0.2591996&9.66835728913e-08
[[531, 471], [471, 531]]&0.2511035&1.59404263153e-07
[[530, 472], [472, 530]]&0.2429818&2.62813199301e-07
[[529, 473], [473, 529]]&0.2348352&4.33305711908e-07
[[528, 474], [474, 528]]&0.2266645&7.14400343939e-07
[[527, 475], [475, 527]]&0.2184705&1.17784704285e-06
[[526, 476], [476, 526]]&0.210254&1.94194147317e-06
[[477, 525], [525, 477]]&0.2020158&3.20172021328e-06
[[478, 524], [524, 478]]&0.1937568&5.27874421846e-06
[[523, 479], [479, 523]]&0.1854778&8.70317787556e-06
