Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[11, 7, 135], [135, 7, 11], [135, 11, 7], [7, 11, 135], [11, 135, 7], [7, 135, 11]]&0.997503&9.01363535523e-06
[[4, 133, 16], [16, 133, 4], [16, 4, 133], [4, 16, 133], [133, 4, 16], [133, 16, 4]]&0.997489&9.01474254604e-06
[[1, 126, 26], [126, 1, 26], [126, 26, 1], [26, 1, 126], [26, 126, 1], [1, 26, 126]]&0.997461&9.01695309803e-06
[[8, 135, 10], [10, 8, 135], [10, 135, 8], [135, 8, 10], [135, 10, 8], [8, 10, 135]]&0.997426&9.01974650841e-06
[[9, 9, 135], [9, 135, 9], [135, 9, 9]]&0.9974&4.51090178719e-06
[[2, 22, 129], [129, 2, 22], [129, 22, 2], [2, 129, 22], [22, 129, 2], [22, 2, 129]]&0.99737&9.02415790784e-06
[[19, 131, 3], [3, 19, 131], [3, 131, 19], [19, 3, 131], [131, 3, 19], [131, 19, 3]]&0.997332&9.02717274682e-06
[[13, 6, 134], [6, 13, 134], [13, 134, 6], [6, 134, 13], [134, 6, 13], [134, 13, 6]]&0.997293&9.03022822766e-06
[[125, 1, 27], [1, 125, 27], [125, 27, 1], [27, 1, 125], [27, 125, 1], [1, 27, 125]]&0.997267&9.03233167073e-06
[[132, 4, 17], [4, 132, 17], [17, 4, 132], [17, 132, 4], [4, 17, 132], [132, 17, 4]]&0.997198&9.03778949149e-06
[[5, 15, 133], [15, 133, 5], [5, 133, 15], [133, 5, 15], [133, 15, 5], [15, 5, 133]]&0.997188&9.03861519371e-06
[[23, 128, 2], [2, 23, 128], [128, 2, 23], [128, 23, 2], [2, 128, 23], [23, 2, 128]]&0.997135&9.04280522681e-06
[[12, 7, 134], [12, 134, 7], [134, 7, 12], [134, 12, 7], [7, 12, 134], [7, 134, 12]]&0.997129&9.04327120263e-06
[[1, 124, 28], [124, 28, 1], [28, 1, 124], [28, 124, 1], [124, 1, 28], [1, 28, 124]]&0.997066&9.04828730543e-06
[[20, 3, 130], [3, 20, 130], [3, 130, 20], [130, 3, 20], [130, 20, 3], [20, 130, 3]]&0.997062&9.04860932915e-06
[[8, 134, 11], [11, 8, 134], [11, 134, 8], [134, 8, 11], [134, 11, 8], [8, 11, 134]]&0.997017&9.05217734016e-06
[[9, 10, 134], [9, 134, 10], [10, 9, 134], [10, 134, 9], [134, 9, 10], [134, 10, 9]]&0.99696&9.05669521843e-06
[[14, 133, 6], [6, 14, 133], [14, 6, 133], [6, 133, 14], [133, 6, 14], [133, 14, 6]]&0.99693&9.05905996908e-06
[[24, 2, 127], [2, 24, 127], [127, 24, 2], [127, 2, 24], [2, 127, 24], [24, 127, 2]]&0.996889&9.06235124888e-06
[[4, 131, 18], [18, 4, 131], [18, 131, 4], [4, 18, 131], [131, 4, 18], [131, 18, 4]]&0.996888&9.06239688794e-06
[[1, 123, 29], [123, 1, 29], [123, 29, 1], [29, 1, 123], [29, 123, 1], [1, 29, 123]]&0.996858&9.06480366834e-06
[[132, 5, 16], [16, 132, 5], [16, 5, 132], [5, 16, 132], [132, 16, 5], [5, 132, 16]]&0.996847&9.0657338601e-06
[[129, 3, 21], [129, 21, 3], [3, 21, 129], [3, 129, 21], [21, 129, 3], [21, 3, 129]]&0.996777&9.0712747739e-06
[[13, 7, 133], [13, 133, 7], [133, 7, 13], [133, 13, 7], [7, 13, 133], [7, 133, 13]]&0.996723&9.07556672987e-06
[[1, 122, 30], [122, 30, 1], [122, 1, 30], [30, 1, 122], [30, 122, 1], [1, 30, 122]]&0.996644&9.08186215738e-06
[[2, 25, 126], [126, 2, 25], [25, 2, 126], [126, 25, 2], [2, 126, 25], [25, 126, 2]]&0.996633&9.08278670811e-06
[[8, 133, 12], [12, 8, 133], [12, 133, 8], [133, 8, 12], [133, 12, 8], [8, 12, 133]]&0.996571&9.08769565447e-06
[[19, 130, 4], [19, 4, 130], [4, 19, 130], [4, 130, 19], [130, 4, 19], [130, 19, 4]]&0.99656&9.08858464239e-06
[[15, 132, 6], [6, 15, 132], [132, 6, 15], [132, 15, 6], [6, 132, 15], [15, 6, 132]]&0.99654&9.09020520479e-06
[[17, 5, 131], [17, 131, 5], [5, 17, 131], [131, 5, 17], [131, 17, 5], [5, 131, 17]]&0.996482&9.09479984054e-06
[[9, 11, 133], [9, 133, 11], [11, 9, 133], [133, 9, 11], [133, 11, 9], [11, 133, 9]]&0.996478&9.09511219084e-06
[[128, 3, 22], [128, 22, 3], [3, 22, 128], [22, 128, 3], [3, 128, 22], [22, 3, 128]]&0.996477&9.09517104392e-06
[[10, 10, 133], [10, 133, 10], [133, 10, 10]]&0.996447&4.54880396958e-06
[[1, 121, 31], [121, 1, 31], [121, 31, 1], [31, 1, 121], [31, 121, 1], [1, 31, 121]]&0.996424&9.09944192502e-06
[[125, 2, 26], [2, 26, 125], [2, 125, 26], [26, 2, 125], [26, 125, 2], [125, 26, 2]]&0.996366&9.10409906435e-06
[[14, 132, 7], [132, 7, 14], [14, 7, 132], [132, 14, 7], [7, 14, 132], [7, 132, 14]]&0.996284&9.11060976882e-06
[[20, 4, 129], [129, 4, 20], [129, 20, 4], [4, 20, 129], [4, 129, 20], [20, 129, 4]]&0.996212&9.11636782188e-06
[[1, 120, 32], [32, 120, 1], [120, 32, 1], [120, 1, 32], [32, 1, 120], [1, 32, 120]]&0.996198&9.11751990845e-06
[[23, 127, 3], [127, 23, 3], [127, 3, 23], [3, 23, 127], [23, 3, 127], [3, 127, 23]]&0.996163&9.12029593793e-06
[[16, 131, 6], [16, 6, 131], [6, 16, 131], [131, 16, 6], [131, 6, 16], [6, 131, 16]]&0.996121&9.12372195225e-06
[[18, 5, 130], [18, 130, 5], [5, 18, 130], [130, 5, 18], [130, 18, 5], [5, 130, 18]]&0.996094&9.12584684348e-06
[[2, 27, 124], [2, 124, 27], [124, 2, 27], [124, 27, 2], [27, 2, 124], [27, 124, 2]]&0.996089&9.12627248055e-06
